video_url,author,comment,likes,time
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@clawtoris,apple's memory/drive pricing was already ahead of time back then. no?,0,6 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@savage44914,"Glad I got my MacBook Neo in April.  I didnt get the color I wanted, but I got my second choice…plus I ended up slapping a clear case on it & adding stickers so lol 

But dang. That’s INSANE.",0,6 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@snapcoder1,NO!,0,6 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Volsberry,"What's Crazy Apple is one of the Companies Purchasing all the RAM for AI, So in theory they could CHOOSE to use the RAM they're buying up to maintain the Current pricing Structure?",0,6 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@kaueqo,Thanks tariffs and the “bring manufacturing back to America”,0,6 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Frozia_3,"It’s not temporary, has COVID and all the other profiteering practices of late taught you nothing?",0,6 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@dotapark,"I’m glad you pointed out AI companies correctly cause like, my people seem lost their minds over all this semiconductor business stock profits and they just believe that “it’s all the fault of Apple” BS.",0,6 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@stanen,"Got a Neo for 520 euros the day apple announced this, the 528 gb model. I felt like I robbed the place.",0,6 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@fullerino,"Those mics attach to your shirt, if you didn't know",0,6 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@NinjaKiller1022,"Y’all think this is bad look at the M3 Ultra Mac Studio 😂. It went from $3,999 to $5,299 before selecting upgrades.",0,6 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@LordWumbology,"The vision pro being nearly $4,000 is hilarious.... I wonder why they aren't selling well 😂",0,6 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@plasticslabss,They’re subsidizing the iPhone for now,0,6 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@dennis.7724,they are putting the ram in the smart weapons and k1llin people with it,0,6 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Datamining101,“Memory” is a convenient scapegoat for a lot of pricing pressure. It’s true and it also prevents the eye of Sauron from focusing on them for increases prices for other things like tariffs.,0,6 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Kenshoru,Watch refurbished Apple products also increase in price 💀,0,6 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Treizez34,"Temporary....yeah, ok.  Idiots will keep buying and these prices will be permanent.",0,6 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@martymcfly1960,Maybe the price hikes across the board for MacBooks and IPads are to absorb price increases on the new IPhone Pros coming out in September? Maybe at least this year 😢,0,6 hari yang lalu (diedit)
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@aliyigitsanl1967,iPhone next 18 pro 1199,0,6 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@PelagicMouthBreather,"There’s a point where we have to recognize that we’re in an abusive relationship with these tech companies, even the “nice” ones. Apple already way overcharges for RAM on all their products and their profit margins are the highest in the industry. I’ve defended Apple generally for their premium prices as they make a well integrated product that really lasts a long time (I’ve still got a 2012 iMac), but I’m calling it quits. They can absorb the costs, they’re making record profits, but number must go up, so they twist the knife. At the same time my 17 Pro Max is so jacked up after 26.5.1 that I want to chuck it in the river. Both my personal and work M4 MBPs are flaky as hell now. iPadOS is a joke. The software reliability downward spiral has really become a deal killer for me. iPhones are great until their first update and then it’s a year of frustration. I’m usually a new phone every year guy, but I’m done buying anymore Apple products for a while. I wonder if there’s a lot of people like me and this will hurt their bottom line more than it will help. There’s a point where you even alienate your most loyal  customers. I’m not switching to Android spyware but I’m just going to keep my current phone and Mac for at least another year.",0,6 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@eddiegardner8232,SO a corporate fetish about ubiquitous AI that nobody asked for in their lives is causing an increase in prices that nobody wants.  Unfettered capitalism at work.,0,6 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@iammaua,I had a refurbished M4 Macbook Pro Max in my cart an the price increase just short a thousand dollars 🤣 set to waiting this out,0,6 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@AIRelatedTopics,"As a life long PC user, I finally switched to Apple and bought a Mac Neo for $599.  There is no way I would have paid $699 as I could get a nice PC for the price.",0,6 hari yang lalu
